number,date,launch_name,cosmodrome,booster_rocket,result
397,10.07.1969 12:00:00,Запуск космического аппарата «Космос-289»,Плесецк,Восход,Успешный
398,13.07.1969 05:54:42,Запуск автоматической межпланетной станции «Луна-15»,Байконур,Протон-К,Успешный
399,22.07.1969 15:30:00,Запуск космического аппарата «Космос-290»,Плесецк,Восход,Успешный
400,22.07.1969 15:55:31,Запуск космического аппарата «Молния-1»,Байконур,Молния-М,Успешный
401,23.07.1969 12:00:10,Запуск космического аппарата,Плесецк,Космос-2,Аварийный
402,06.08.1969 08:40:03,Запуск макета космического аппарата «Космос-291»,Байконур,Циклон-2,Успешный
403,08.08.1969 02:48:06,Запуск беспилотного космического корабля «Зонд-7» к Луне,Байконур,Протон-К,Успешный
404,14.08.1969 01:00:02,Запуск космического аппарата «Космос-292»,Плесецк,Космос-3М,Успешный
405,16.08.1969 14:59:59,Запуск космического аппарата «Космос-293»,Байконур,Восход,Успешный
406,19.08.1969 16:00:01,Запуск космического аппарата «Космос-294»,Плесецк,Восход,Успешный
407,22.08.1969 17:14:57,Запуск космического аппарата «Космос-295»,Плесецк,Космос-2,Успешный
408,29.08.1969 12:05:00,Запуск космического аппарата «Космос-296»,Байконур,Восход,Успешный
409,02.09.1969 14:00:01,Запуск космического аппарата «Космос-297»,Плесецк,Восход,Успешный
410,15.09.1969 19:00:01,Запуск космического аппарата «Космос-298»,Байконур,Р-36орб,Успешный
411,18.09.1969 11:40:01,Запуск космического аппарата «Космос-299»,Байконур,Восход,Успешный
412,23.09.1969 17:07:36,Запуск автоматической межпланетной станции «Космос-300» к Луне,Байконур,Протон-К,Частично успешный
413,24.09.1969 15:15:01,Запуск космического аппарата «Космос-301»,Плесецк,Восход,Успешный
414,06.10.1969 04:45:00,Запуск космического аппарата «Метеор»,Плесецк,Восток-2М,Успешный
415,11.10.1969 14:10:00,Запуск пилотируемого космического корабля «Союз-6»,Байконур,Союз,Успешный
416,12.10.1969 13:44:42,Запуск пилотируемого космического корабля «Союз-7»,Байконур,Союз,Успешный
417,13.10.1969 13:19:09,Запуск пилотируемого космического корабля «Союз-8»,Байконур,Союз,Успешный
418,14.10.1969 16:39:53,Запуск космического аппарата «Интеркосмос-1»,Капустин Яр,Космос-2,Успешный
419,17.10.1969 14:45:01,Запуск космического аппарата «Космос-302»,Плесецк,Восход,Успешный
420,18.10.1969 13:00:03,Запуск космического аппарата «Космос-303»,Плесецк,Космос-2,Успешный
